序	总分	424922.33	284052.12	140870.21	21968.48	14685.49	7282.99
1	87407354	25661.26	19600.96	6060.3	s***t	13****005	4400
2	103659657	41640.71	25105.53	16535.18	北冥觞	13****005	20.6
3	136686378	13577.33	9038.12	4539.21	ty_阿拉蕾887	13****005	9
4	98713305	15401.24	11189.36	4211.88	菩提尊	13****005	9.9
5	137889839	1191.95	5.23	1186.72	akb31215	18****367	20
6	134948032	6661.89	3419.83	3242.06	过去是遥远的距离	13****005	20
7	112413531	12299.25	9074.93	3224.32	东皇战影	13****005	20
8	108156624	9221.14	6039.77	3181.37	u_108156624	13****005	9.59
9	136077445	10962.63	8506.01	2456.62	神田京一	13****005	1.7
10	137890081	1217.25	5.23	1212.02	Junic_kk	18****367	20
11	128102312	16191.91	13706.78	2485.13	温伯格修改后	13****005	20
12	96215746	13654.97	9485.25	4169.72	洛楚灵	18****367	59
13	136684020	12274.26	10035.69	2238.57	sekift123	13****005	19
14	98712110	11673.02	8142.71	3530.31	欲星移	18****367	44
15	135009062	6082.41	3400.09	2682.32	顽疾退散	13****005	20
16	137890393	1002.24	5.23	997.01	GOODBYB	18****367	20
17	118290293	29122.26	20590.88	8531.38	炎魔幻十郎	18****367	9.84
18	137838346	5749.67	949.43	4800.24	开口说再见ABC	18****367	20
19	137890860	1294.42	5.23	1289.19	MissYouMe	15****005	20
20	118027396	8061.6	5837.8	2223.8	误芭蕉	13****005	9
21	118028082	9531.08	6773.89	2757.19	北冥华	13****005	9.13
22	137890924	1110.9	3.52	1107.38	LoArg	13****005	20
23	137779111	6639.39	3557.96	3081.43	昨天与明天是你	18****367	20
24	122165486	9564.04	7111.22	2452.82	御魂罪	18****367	20
25	110918865	5653.17	2605.22	3047.95	u_110918865	13****005	19.7
26	118028999	8170.15	5867.99	2302.16	北冥异	18****367	20
27	134947581	8976.87	6321.82	2655.05	科普冷知识	18****367	9.5
28	111658595	9674.52	6793.66	2880.86	刘萱姑	18****367	7.89
29	111000000	6177.91	3569.19	2608.72	地狱里来的恶魔	13****005	20
30	122109120	7961.12	5978.33	1982.79	重子歌姫	18****367	10
31	137838701	3362.47	894.86	2467.61	生命不及风2018	18****367	20
32	114684006	12523.88	9542.77	2981.11	榕桂菲	18****367	9.5
33	119315205	8886.31	5753.46	3132.85	出云能火	18****367	9.5
34	102351108	6369.71	3842.41	2527.3	阿拉蕾I	13****005	20
35	118289932	7664.88	5664.31	2000.57	宫本总司	18****367	9.5
36	133504809	6194.11	4084.44	2109.67	133504809修改后	13****005	20
37	122677482	8279.8	5572.02	2707.78	赫蒙天野	18****367	10
38	133504472	6080.52	3449.31	2631.21	笑话大全主角	13****005	20
39	118028284	10735.87	8022.98	2712.89	北冥缜	13****005	9.01
40	111675983	8368.48	6075.04	2293.44	五爪金鹰	13****005	10.02
41	137838586	3809.64	1009.18	2800.46	19373	18****367	20
42	118487957	8331.89	5899.5	2432.39	燕驼龙	18****367	9.11
43	121716371	5451.78	3422	2029.78	机器大票	18****367	20
44	137840145	3007.8	734.17	2273.63	zhaozhongmi	18****367	20
45	106560228	9454.63	7358.81	2095.82	苍越孤鸣	13****005	20

序	总分	374386.73	213534.72	160852.01	19355.79	11039.75	8316.05
1	87407354	22554.91	14035.51	8519.4	s***t	13****005	4400
2	103659657	35399.24	20960	14439.24	北冥觞	13****005	20.6
3	136686378	12885.35	6636.19	6249.16	ty_阿拉蕾887	13****005	9
4	98713305	13867.48	8574.47	5293.01	菩提尊	13****005	9.9
5	137889839	411.76	0	411.76	akb31215	18****367	20
6	134948032	5747.4	1500.78	4246.62	过去是遥远的距离	13****005	20
7	112413531	11023.95	7469.12	3554.83	东皇战影	13****005	20
8	108156624	8554.52	4106.34	4448.18	u_108156624	13****005	9.59
9	136077445	10176.45	6079.42	4097.03	神田京一	13****005	1.7
10	137890081	411.76	0	411.76	Junic_kk	18****367	20
11	128102312	15026.18	11946.01	3080.17	温伯格修改后	13****005	20
12	96215746	12600.05	7319.67	5280.38	洛楚灵	18****367	59
13	136684020	11535.12	7454.68	4080.44	sekift123	13****005	19
14	98712110	11092.16	6260.52	4831.64	欲星移	18****367	44
15	135009062	5513.9	1375.84	4138.06	顽疾退散	13****005	20
16	137890393	411.76	0	411.76	GOODBYB	18****367	20
17	118290293	22806.36	17940.78	4865.58	炎魔幻十郎	18****367	9.84
18	137838346	4584.55	6.78	4577.77	开口说再见ABC	18****367	20
19	137890860	411.76	0	411.76	MissYouMe	15****005	20
20	118027396	7346.52	4908.96	2437.56	误芭蕉	13****005	9
21	118028082	8252.68	5627.7	2624.98	北冥华	13****005	9.13
22	137890924	411.76	0	411.76	LoArg	13****005	20
23	137779111	6002.97	2028.8	3974.17	昨天与明天是你	18****367	20
24	122165486	8876.81	5335.75	3541.06	御魂罪	18****367	20
25	110918865	4856.89	1125.36	3731.53	u_110918865	13****005	19.7
26	118028999	7347.67	4547.34	2800.33	北冥异	18****367	20
27	134947581	8241.49	4902.26	3339.23	科普冷知识	18****367	9.5
28	111658595	8797.89	5103.92	3693.97	刘萱姑	18****367	7.89
29	111000000	5526.69	1634.7	3891.99	地狱里来的恶魔	13****005	20
30	122109120	7632.12	4643.44	2988.68	重子歌姫	18****367	10
31	137838701	2023.94	6.77	2017.17	生命不及风2018	18****367	20
32	114684006	11780.01	8479.43	3300.58	榕桂菲	18****367	9.5
33	119315205	7955.81	4906.19	3049.62	出云能火	18****367	9.5
34	102351108	5395.28	1728.67	3666.61	阿拉蕾I	13****005	20
35	118289932	7146.12	4458	2688.12	宫本总司	18****367	9.5
36	133504809	5289.29	2647.71	2641.58	133504809修改后	13****005	20
